level_0,level_1,Name,join_artists,Score,Song_top,Song_attr
1698,9940,1.0,1.0,2.0,The Weeknd - Wasted Times,The Weeknd - Wasted Times
1711,10023,1.0,1.0,2.0,Tiesto - Jackie Chan,Tiësto - Jackie Chan
1746,10173,1.0,1.0,2.0,Trippie Redd - 1400 / 999 Freestyle,Trippie Redd - 1400 / 999 Freestyle
1748,10200,1.0,1.0,2.0,Trippie Redd - Love Scars 3,Trippie Redd - Love Scars 3
1749,10174,1.0,1.0,2.0,Trippie Redd - Negative Energy,Trippie Redd - Negative Energy
1750,10212,1.0,1.0,2.0,Trippie Redd - Taking A Walk,Trippie Redd - Taking A Walk
1751,10216,1.0,1.0,2.0,Trippie Redd - Topanga,Trippie Redd - Topanga
1752,10217,1.0,1.0,2.0,Trippie Redd - Toxic Waste,Trippie Redd - Toxic Waste
1754,10233,1.0,1.0,2.0,Troye Sivan - My My My!,Troye Sivan - My My My!
1765,10386,1.0,1.0,2.0,Tyler - OKRA,"Tyler, The Creator - OKRA"
1788,10704,1.0,1.0,2.0,XXXTENTACION - BAD!,XXXTENTACION - BAD!
1790,10732,1.0,1.0,2.0,XXXTENTACION - Changes,XXXTENTACION - changes
1795,10711,1.0,1.0,2.0,XXXTENTACION - Guardian Angel,XXXTENTACION - Guardian angel
1796,10713,1.0,1.0,2.0,XXXTENTACION - Hope,XXXTENTACION - Hope
1801,10720,1.0,1.0,2.0,XXXTENTACION - Moonlight,XXXTENTACION - Moonlight
1846,10938,1.0,1.0,2.0,YoungBoy Never Broke Again - Outside Today,YoungBoy Never Broke Again - Outside Today
1847,10939,1.0,1.0,2.0,YoungBoy Never Broke Again - Overdose,YoungBoy Never Broke Again - Overdose
1850,10958,1.0,1.0,2.0,YoungBoy Never Broke Again - Valuable Pain,YoungBoy Never Broke Again - Valuable Pain
1859,11049,1.0,1.0,2.0,Zara Larsson - Ruin My Life,Zara Larsson - Ruin My Life
1872,11058,1.0,1.0,2.0,Zedd - Happy Now,Zedd - Happy Now
1876,11064,1.0,1.0,2.0,Zedd - The Middle,Zedd - The Middle
1,151,1.0,1.0,2.0,2 Chainz - 4 AM,2 Chainz - 4 AM
3,153,1.0,1.0,2.0,2 Chainz - It's A Vibe,2 Chainz - It's A Vibe
14,193,1.0,1.0,2.0,21 Savage - Bank Account,21 Savage - Bank Account
24,186,1.0,1.0,2.0,21 Savage - Ghostface Killers,21 Savage - Ghostface Killers
